,name,y_true,y_pred
0,BiLSTM,2,1
1,BiLSTM,2,2
2,BiLSTM,4,1
3,BiLSTM,3,1
4,BiLSTM,3,1
5,BiLSTM,2,1
6,BiLSTM,1,1
7,BiLSTM,1,1
8,BiLSTM,1,1
9,BiLSTM,1,1
10,BiLSTM,2,1
11,BiLSTM,3,1
12,BiLSTM,1,1
13,BiLSTM,2,1
14,BiLSTM,1,1
15,BiLSTM,2,1
16,BiLSTM,3,1
17,BiLSTM,0,1
18,BiLSTM,0,1
19,BiLSTM,1,1
20,BiLSTM,2,1
21,BiLSTM,2,2
22,BiLSTM,1,1
23,BiLSTM,1,1
24,BiLSTM,1,1
25,BiLSTM,3,1
26,BiLSTM,1,1
27,BiLSTM,2,1
28,BiLSTM,1,1
29,BiLSTM,2,1
30,BiLSTM,1,1
31,BiLSTM,2,1
32,BiLSTM,2,1
33,BiLSTM,2,1
34,BiLSTM,4,1
35,BiLSTM,3,1
36,BiLSTM,2,1
37,BiLSTM,1,1
38,BiLSTM,2,1
39,BiLSTM,3,1
40,BiLSTM,2,1
41,BiLSTM,2,1
42,BiLSTM,1,1
43,BiLSTM,3,1
44,BiLSTM,0,2
45,BiLSTM,3,1
46,BiLSTM,1,1
47,BiLSTM,1,1
48,BiLSTM,2,1
49,BiLSTM,4,1
50,BiLSTM,2,1
51,BiLSTM,3,1
52,BiLSTM,1,2
53,BiLSTM,1,1
54,BiLSTM,3,1
55,BiLSTM,3,1
56,BiLSTM,1,1
57,BiLSTM,1,1
58,BiLSTM,0,1
59,BiLSTM,1,1
60,BiLSTM,4,1
61,BiLSTM,3,1
62,BiLSTM,1,1
63,BiLSTM,2,1
64,BiLSTM,1,1
65,BiLSTM,1,1
66,BiLSTM,1,1
67,BiLSTM,1,1
68,BiLSTM,2,1
69,BiLSTM,1,1
70,BiLSTM,0,1
71,BiLSTM,3,1
72,BiLSTM,1,1
73,BiLSTM,3,1
74,BiLSTM,1,1
75,BiLSTM,3,1
76,BiLSTM,4,1
77,BiLSTM,4,2
